Method,Task,Bin,n_queries,MAP@5,nDCG@5,Recall@5,MAP@10,nDCG@10,Recall@10,MAP@50,nDCG@50,Recall@50
BLASTP,Arch Retrieval,20-40% (Medium),502,0.18995,0.90266,0.19386,0.27495,0.88878,0.2838,0.6417,0.82681,0.66268
BLASTP,Arch Retrieval,<20% (Twilight),0,,,,,,,,,
BLASTP,Arch Retrieval,>40% (High),1841,0.32659,0.89854,0.33426,0.45229,0.88356,0.46398,0.71047,0.81842,0.73223
BLASTP,Euk Retrieval,20-40% (Medium),60,0.25318,0.83591,0.2545,0.34279,0.81971,0.34496,0.59828,0.76423,0.6065
BLASTP,Euk Retrieval,<20% (Twilight),0,,,,,,,,,
BLASTP,Euk Retrieval,>40% (High),251,0.35679,0.89234,0.36047,0.47873,0.87457,0.48316,0.68525,0.79031,0.69465
