Method,Dataset,MAP@5,NDCG@5,Recall@5,P@5,MAP@10,NDCG@10,Recall@10,P@10,MAP@50,NDCG@50,Recall@50,P@50,MRR,n_queries
k-mer (k=2),Arch Retrieval,0.01734,0.07919,0.0241,0.06965,0.02072,0.0737,0.03342,0.05907,0.02815,0.07083,0.07409,0.03719,0.14205,2343
k-mer (k=3),Arch Retrieval,0.08662,0.30457,0.09949,0.26709,0.10889,0.27875,0.13417,0.21912,0.14863,0.24956,0.23719,0.1096,0.42492,2343
k-mer (k=4),Arch Retrieval,0.18259,0.61285,0.19666,0.55587,0.25133,0.5823,0.27675,0.48348,0.37981,0.51154,0.45728,0.24446,0.70869,2343
k-mer (k=2),Euk Retrieval,0.03265,0.14191,0.04579,0.1254,0.04582,0.13466,0.07262,0.109,0.06278,0.13032,0.1295,0.05878,0.23251,311
k-mer (k=3),Euk Retrieval,0.14406,0.44067,0.15806,0.39421,0.18582,0.40996,0.2109,0.32219,0.25387,0.36681,0.3392,0.14785,0.5544,311
k-mer (k=4),Euk Retrieval,0.24837,0.68988,0.25597,0.61994,0.32716,0.65582,0.34433,0.52122,0.46339,0.59987,0.52828,0.26219,0.79026,311
